brand,retailed id,invoice date,region,state,city,unit sold,operating profit,operating margin,sales method,product name,product id
Nike,c4c2e2e3-444e-47c8-8039-87108976e334,05-09-2024,South,Karnataka,Mysore,36,1090.31,29.91,Wholesale,Nike Metcon,P1005
Nike,6f4cc69a-4b22-4308-9c8e-aee95715bd6f,02-03-2024,East,Bihar,Gaya,16,624.46,35.56,Online,Nike Pegasus,P1003
Nike,b8db0672-f42d-47cc-80d4-af5974273ca3,06-12-2024,North,Delhi,New Delhi,91,2261.12,28.72,Retail,Nike ZoomX,P1002
Nike,8026695f-f8cd-488b-836d-76e2b83cfe0b,22-10-2024,West,Rajasthan,Jaipur,19,895.24,50.81,Wholesale,Nike Air Max,P1001
Nike,1b3dbd5c-e9a1-4a6f-81f7-6d1c2dbc2134,04-12-2024,East,Bihar,Patna,26,760.44,25.67,Online,Nike React,P1004
Nike,a39231a7-d777-4477-8c66-e0a8a013ac6e,16-07-2024,North,Punjab,Ludhiana,95,2907.98,32.71,Online,Nike ZoomX,P1002
Nike,5fb8d16c-2720-497d-b2eb-d6899be578c7,23-10-2024,West,Rajasthan,Jaipur,30,1393.27,75.53,Online,Nike ZoomX,P1002
Nike,c754108f-f418-4f3f-8a14-be62295b4715,24-12-2024,East,Odisha,Bhubaneswar,30,697.29,20.69,Wholesale,Nike Pegasus,P1003
Nike,99546eb4-0025-4ad1-ab22-63dd87c5421e,05-05-2024,West,Maharashtra,Mumbai,54,2409.27,39.74,Retail,Nike React,P1004
Nike,edd96831-1ca3-4cfb-84fc-6d827d154385,20-05-2024,South,Tamil Nadu,Chennai,52,2388.39,38.92,Retail,Nike React,P1004
Nike,ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,29-04-2024,East,Odisha,Cuttack,52,1219.93,19.84,Online,Nike Metcon,P1005
Nike,e0c53cb8-3da9-42a9-8ed4-2f1a3d4cbf37,08-08-2024,South,Kerala,Trivandrum,23,759.85,31.85,Wholesale,Nike Air Max,P1001
Nike,bb5e4bcf-15ed-4269-9429-6c07f26b4776,07-07-2024,East,Odisha,Bhubaneswar,83,2294.26,26.96,Online,Nike React,P1004
Nike,c2b6d2c5-fa5d-4100-91b7-e948d0e6e660,25-07-2024,North,Haryana,Gurgaon,65,3150.31,42.05,Online,Nike Pegasus,P1003
Nike,a8e56e0c-20de-435d-a031-d750c40db9b4,03-07-2024,East,Bihar,Patna,74,2960.5,50.28,Retail,Nike Pegasus,P1003
Nike,43dac043-2a45-42ab-8cbf-edb0f264accc,23-07-2024,East,Bihar,Patna,63,3037.29,47.9,Wholesale,Nike ZoomX,P1002
Nike,f6e07cc0-6c52-449f-9b49-bd26df57c59a,23-03-2024,South,Kerala,Trivandrum,80,2329.3,40.1,Online,Nike React,P1004
Nike,badcc32a-c159-4f53-8a0f-4efbedcd465e,24-09-2024,East,Odisha,Cuttack,96,3392.18,32.83,Online,Nike React,P1004
Nike,66245bfa-4fcc-439a-b683-d2e6337ea2df,17-09-2024,South,Kerala,Kochi,75,2924.12,48.67,Wholesale,Nike Pegasus,P1003
Nike,e64d1bcb-7027-43a1-9f98-7c71a65e688e,20-07-2024,South,Kerala,Trivandrum,35,725.65,27.76,Online,Nike ZoomX,P1002
Nike,3985c3cf-3f76-4e1d-9efa-21977394988f,25-01-2024,West,Rajasthan,Jaipur,63,2348.02,36.15,Wholesale,Nike React,P1004
Nike,8dcdcd03-969b-4662-8562-8059568cc69b,30-03-2024,West,Gujarat,Surat,28,1137.6,35.78,Wholesale,Nike ZoomX,P1002
Nike,122c9a56-01d7-4256-b860-2ab696a402f2,01-10-2024,North,Punjab,Ludhiana,99,3359.71,36.32,Wholesale,Nike ZoomX,P1002
Nike,114125c6-3a9b-4dd4-8f12-59e0a18ff6b6,17-12-2024,North,Punjab,Ludhiana,95,4715.49,51.85,Wholesale,Nike React,P1004
Nike,1223b513-5496-463c-9c11-10c1080aadfb,18-07-2024,West,Rajasthan,Udaipur,67,2834.75,47.82,Online,Nike Metcon,P1005
Nike,7c441fe7-ab42-40a7-874a-493b3ceddf2d,24-03-2024,East,West Bengal,Siliguri,72,1956.77,31.46,Wholesale,Nike Metcon,P1005
Nike,ef7ddc76-b92d-422b-a1df-306f8a0b3c33,08-12-2024,East,West Bengal,Siliguri,50,1120.87,32.47,Wholesale,Nike Pegasus,P1003
Nike,3e351128-7900-47f9-9382-9b43922fe15a,31-10-2024,West,Rajasthan,Jaipur,18,580.1,34.82,Retail,Nike ZoomX,P1002
Nike,30beb45f-6835-44f2-8eb8-1f9d7914c120,06-02-2024,West,Maharashtra,Mumbai,59,2854.53,79.09,Wholesale,Nike React,P1004
Nike,5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,13-06-2024,West,Gujarat,Ahmedabad,48,2188.97,38.91,Retail,Nike Pegasus,P1003
Nike,baa4b71a-dd24-47ac-b78e-edb3693dffbc,22-01-2024,West,Rajasthan,Jaipur,38,1256.85,53.57,Retail,Nike React,P1004
Nike,a56c0941-fbf2-4050-a748-dbcfac619e63,08-02-2024,East,Bihar,Gaya,69,3410.09,53.69,Online,Nike ZoomX,P1002
Nike,56dc8907-ba6c-44ab-a712-303a0f844fef,06-11-2024,West,Rajasthan,Jaipur,92,2214.53,27.45,Retail,Nike Air Max,P1001
Nike,310c0c00-3fa7-4104-9bf9-0e27dc96925e,14-03-2024,North,Punjab,Amritsar,37,1102.8,28.21,Retail,Nike Pegasus,P1003
Nike,6c006f61-23e2-4cb4-b2d8-567d894a05e4,12-03-2024,West,Gujarat,Surat,20,411.63,22.28,Retail,Nike Pegasus,P1003
Nike,dfde4fbf-3ff3-40bf-b66e-cb15474ebc19,24-12-2024,East,West Bengal,Kolkata,13,337.75,42.44,Online,Nike Air Max,P1001
Nike,dc815fe7-ceda-4bbb-b171-0434134c6c92,28-11-2024,South,Tamil Nadu,Chennai,95,3507.31,50.52,Online,Nike React,P1004
Nike,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,28-07-2024,East,Odisha,Bhubaneswar,87,3614.91,38.95,Wholesale,Nike Metcon,P1005
Nike,17e011b7-f810-4383-83c7-2ba8d605e770,25-12-2024,South,Karnataka,Bengaluru,13,484.56,32.56,Retail,Nike Metcon,P1005
Nike,2a935d62-3c83-4dc0-9944-1fa5c0e9ab30,06-06-2024,West,Gujarat,Ahmedabad,85,3817.96,60.23,Wholesale,Nike Air Max,P1001
Nike,dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,04-06-2024,East,Bihar,Patna,15,539.74,36.09,Retail,Nike Metcon,P1005
Nike,610461e3-2a25-4888-8f02-bad0e7067ef4,01-01-2024,North,Haryana,Faridabad,63,1459.47,19.69,Retail,Nike Air Max,P1001
Nike,ed3049cf-43e4-48fc-a3f2-ae24fc3d3348,31-10-2024,West,Rajasthan,Jaipur,32,1140.88,36,Wholesale,Nike React,P1004
Nike,6c4a37ea-4906-47f2-b47b-6dbac8fe3ccd,27-09-2024,West,Gujarat,Surat,44,2004.26,41.47,Retail,Nike Metcon,P1005
Nike,c88a618e-fed4-457d-bb02-6576f512c4c3,03-08-2024,North,Punjab,Amritsar,69,2643.39,46.3,Wholesale,Nike ZoomX,P1002
Nike,27a0c3d7-7c96-4f79-b7e9-9acaa97065e1,14-03-2024,North,Punjab,Amritsar,72,2206.42,40.59,Online,Nike ZoomX,P1002
Nike,0ef8c2d6-f7fd-4646-b7bb-3eec4bf50b52,12-08-2024,East,Bihar,Gaya,11,532.86,74.37,Wholesale,Nike Metcon,P1005
Nike,bf7b539b-0f9a-4a4b-8acd-4e10bc594585,01-05-2024,West,Gujarat,Ahmedabad,92,3194.67,32.28,Wholesale,Nike React,P1004
Nike,7a0ecfea-958c-49ba-8cd6-20c20ea2622b,14-07-2024,North,Punjab,Ludhiana,98,2860.25,30.76,Online,Nike React,P1004
Nike,284d82e5-87f7-41fb-9a4b-d9caeb5cf467,23-01-2024,West,Rajasthan,Udaipur,80,2444.35,35.03,Retail,Nike React,P1004
Nike,d9f195d0-1482-4f53-8201-0c62f5f59b22,13-03-2024,East,Odisha,Bhubaneswar,34,801.95,25.6,Retail,Nike Air Max,P1001
Nike,acdabacc-1165-4210-9854-3881118a9d29,30-11-2024,South,Tamil Nadu,Chennai,45,1695.94,35.68,Wholesale,Nike React,P1004
Nike,f10c718b-1eb0-438a-a75d-d5af3c365296,11-12-2024,East,West Bengal,Kolkata,39,989.95,41.72,Retail,Nike Pegasus,P1003
Nike,98326856-9434-4a03-bf07-f81491d63f78,16-01-2024,South,Karnataka,Bengaluru,80,3273.8,60.56,Retail,Nike Air Max,P1001
Nike,a8499b92-6b52-42e3-94fc-dd549e8fc965,14-08-2024,West,Maharashtra,Mumbai,46,1580.63,42.72,Retail,Nike Metcon,P1005
Nike,ef48e8d5-50fd-4d3f-85d5-169590b2b633,11-04-2024,North,Punjab,Amritsar,18,625.54,36.73,Retail,Nike Air Max,P1001
Nike,506e5a9a-b758-488d-ab73-295b344a54b8,02-04-2024,North,Delhi,New Delhi,48,2391.24,74.24,Online,Nike Metcon,P1005
Nike,abf3e3fc-2181-4d25-a552-38a643ff5011,07-09-2024,West,Rajasthan,Jaipur,58,2740.8,60.71,Retail,Nike Metcon,P1005
Nike,edd4253b-50f0-4d0a-b50c-ab754ccc9bc2,18-10-2024,West,Gujarat,Ahmedabad,22,852.84,51.09,Online,Nike Metcon,P1005
Nike,75523327-0262-4f73-9292-2f83ef8c485b,29-08-2024,North,Delhi,New Delhi,80,1975.68,29.22,Online,Nike ZoomX,P1002
Nike,19985f15-ff00-4d4d-9020-59e4ff9ab5c2,29-01-2024,West,Gujarat,Ahmedabad,46,1310.15,25.53,Wholesale,Nike ZoomX,P1002
Nike,43e42caf-8181-48cc-b691-47eb89a2688b,21-02-2024,North,Haryana,Gurgaon,90,3585.19,34.33,Wholesale,Nike Pegasus,P1003
Nike,119c4ea3-e180-4081-9958-a499eeea163e,07-12-2024,West,Maharashtra,Mumbai,44,974.26,31.65,Online,Nike ZoomX,P1002
Nike,286218b8-48f4-4f12-9e99-53d23e896c64,19-06-2024,East,Bihar,Gaya,25,1016.51,39.87,Retail,Nike React,P1004
Nike,4d71c366-b41b-4143-8b10-550cd5704f32,25-08-2024,East,Bihar,Gaya,20,423.92,24.67,Wholesale,Nike React,P1004
Nike,a76afde6-ce9e-4a11-bcbb-4e59fbddcf7c,24-07-2024,East,Bihar,Gaya,21,1026,44.35,Online,Nike Air Max,P1001
Nike,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,26-04-2024,North,Haryana,Faridabad,15,511.73,34.43,Online,Nike Metcon,P1005
Nike,f05db76e-1a84-451a-a9d3-d7c7ee87905e,07-12-2024,East,West Bengal,Siliguri,21,639.22,38.05,Retail,Nike React,P1004
Nike,e3c43657-1d8c-4bac-83b4-09ef2260e70f,11-02-2024,North,Delhi,New Delhi,98,2807.36,24.54,Retail,Nike React,P1004
Nike,45b89cd9-27cb-4f2a-8da0-1097be0f051b,19-04-2024,North,Punjab,Ludhiana,42,986.06,22.08,Retail,Nike Pegasus,P1003
Nike,57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,20-03-2024,North,Haryana,Faridabad,16,568.85,36.52,Online,Nike React,P1004
Nike,439472e6-da58-4e8a-a25d-6b29afffcfd2,15-07-2024,West,Rajasthan,Udaipur,36,1313.16,31.54,Retail,Nike Air Max,P1001
Nike,e87d1c78-e7c4-41c7-8049-7b717d106c60,24-11-2024,West,Rajasthan,Udaipur,13,497.46,51.46,Wholesale,Nike Air Max,P1001
Nike,6c6f7633-a260-4723-97a0-df490d01280f,18-11-2024,South,Karnataka,Bengaluru,62,1657.94,24.2,Online,Nike Metcon,P1005
Nike,5563f616-00e8-4ece-8b49-452d46d483f3,26-10-2024,North,Punjab,Ludhiana,73,2099.18,28.1,Wholesale,Nike ZoomX,P1002
Nike,430f801d-fad4-49e2-a319-dcb4217d65a0,03-03-2024,West,Gujarat,Surat,68,1655.07,34.07,Wholesale,Nike ZoomX,P1002
Nike,b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,15-06-2024,South,Tamil Nadu,Coimbatore,53,1484.8,46.57,Wholesale,Nike React,P1004
Nike,13432e61-1ca3-4448-8279-b6a68f9797b0,08-12-2024,East,Bihar,Gaya,67,2313.53,43.19,Wholesale,Nike ZoomX,P1002
Nike,8babce3b-2628-4bfb-a767-dceab0e6a969,14-01-2024,West,Gujarat,Surat,99,3678.24,50.2,Online,Nike ZoomX,P1002
Nike,8d7248e2-951f-48d0-9e84-f058d5a804eb,27-02-2024,West,Maharashtra,Pune,100,3158.24,31.64,Retail,Nike React,P1004
Nike,4eea04e7-0ab5-4bde-a0a0-45026e068097,21-05-2024,South,Karnataka,Bengaluru,74,2217.03,45.38,Wholesale,Nike ZoomX,P1002
Nike,f8e1daa7-cbce-4bde-aede-db07e623a689,30-11-2024,West,Maharashtra,Pune,28,1291.58,39.03,Retail,Nike Air Max,P1001
Nike,35c7936c-5b99-42c6-a61f-ecc00a368ce7,21-09-2024,North,Punjab,Amritsar,89,2841.28,49.25,Wholesale,Nike Pegasus,P1003
Nike,5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,29-10-2024,East,Bihar,Gaya,90,4196.08,52.22,Wholesale,Nike Pegasus,P1003
Nike,6808593f-dfed-4c43-a256-a6dc8f5486b7,29-08-2024,North,Haryana,Gurgaon,90,4286.51,39.74,Wholesale,Nike ZoomX,P1002
Nike,ee0caeb5-ecfe-4b99-a790-cebdbfddc3d9,01-04-2024,North,Punjab,Ludhiana,66,2694.12,35.74,Online,Nike Air Max,P1001
Nike,ccc56569-f9e8-4369-a999-b735dd56cc94,10-11-2024,North,Punjab,Ludhiana,55,1810.63,44.1,Retail,Nike Pegasus,P1003
Nike,0658663a-698c-406f-a1a4-7e102d534dd0,10-03-2024,West,Rajasthan,Jaipur,32,1225.11,46.15,Online,Nike ZoomX,P1002
Nike,c84a7b28-550a-4b46-acab-3301bc8f7d29,27-12-2024,South,Karnataka,Bengaluru,69,1905.73,36.67,Wholesale,Nike ZoomX,P1002
Nike,dd334cc7-ab7f-489a-8d5f-4822696608aa,12-10-2024,North,Punjab,Amritsar,30,997.56,41.19,Online,Nike Metcon,P1005
Nike,28c13091-444d-410b-bf87-e362cf8d446a,01-11-2024,East,Bihar,Gaya,68,1766.4,31.27,Retail,Nike Pegasus,P1003
Nike,df465290-61ee-411a-9bac-27a7b386f7a4,16-01-2024,West,Maharashtra,Mumbai,83,3091.28,31.15,Retail,Nike React,P1004
Nike,33173470-38f1-4a81-b87f-2425dbccc477,13-11-2024,East,West Bengal,Siliguri,11,505.47,43.07,Wholesale,Nike Pegasus,P1003
Nike,4e20fd1a-5983-46e3-b5d6-6ed4eb1fa9f2,14-11-2024,North,Haryana,Faridabad,39,1718.26,60.24,Wholesale,Nike Pegasus,P1003
Nike,39118497-3a43-42ba-9f0f-06cbcb9bc326,10-01-2024,South,Kerala,Trivandrum,90,4239.19,47.68,Online,Nike ZoomX,P1002
Nike,5408f9ac-6601-4dd0-b170-f437a8f7ef5a,18-04-2024,East,Odisha,Bhubaneswar,56,1340.77,20.9,Wholesale,Nike Metcon,P1005
Nike,c5f8bc16-f786-4b50-91c5-8ef0dd463c09,18-04-2024,East,Bihar,Gaya,35,1525.84,38.72,Online,Nike ZoomX,P1002
Nike,6651529e-8268-490b-a438-25b559e4b671,20-09-2024,East,Bihar,Gaya,42,2058.9,63.08,Retail,Nike ZoomX,P1002
Nike,54c63cd8-8945-4f27-97fa-2d8dfb2ca025,30-12-2024,East,West Bengal,Siliguri,28,1282.52,44.28,Online,Nike Air Max,P1001
Nike,f86c2ca2-e085-46db-9d87-09660710d430,11-04-2024,West,Rajasthan,Udaipur,60,1676.03,41.44,Online,Nike Air Max,P1001
Nike,fbc9f87a-f668-4617-94a1-875d2db69edb,13-04-2024,East,Bihar,Gaya,58,2796.11,72.49,Wholesale,Nike Metcon,P1005
Nike,6f3f920c-98b8-44cc-9bc0-44fc09cb3942,14-05-2024,South,Karnataka,Bengaluru,81,3844.07,64.76,Retail,Nike Metcon,P1005
Nike,6fb78271-504d-481f-8953-5b63ba81edd9,23-08-2024,North,Haryana,Faridabad,93,2185.53,37.47,Retail,Nike Pegasus,P1003
Nike,629c2ae3-1d9a-4659-82ec-9f2dfbf6e16f,15-12-2024,North,Punjab,Amritsar,22,1025.59,68.41,Online,Nike Air Max,P1001
Nike,0b5cea6a-4135-4e8c-b0a9-00ad939b462d,02-10-2024,West,Gujarat,Surat,29,1149.78,36.04,Retail,Nike Metcon,P1005
Nike,ecf27e76-8519-4ff4-806e-d6e36fa17735,09-11-2024,West,Gujarat,Ahmedabad,37,1233.61,44.95,Retail,Nike Pegasus,P1003
Nike,f0b5156b-b82c-4074-afd5-dea589d7fd6c,15-10-2024,East,West Bengal,Siliguri,92,2007.12,28.5,Retail,Nike Metcon,P1005
Nike,5d3d9e56-3270-44fa-abae-4f43bcae8081,16-06-2024,North,Punjab,Ludhiana,92,3488.12,61.87,Wholesale,Nike ZoomX,P1002
Nike,ebb7a385-aa0b-4b14-b2e9-702d11e9cdaa,08-05-2024,East,West Bengal,Kolkata,36,1616.2,48.14,Online,Nike Metcon,P1005
Nike,d9178793-a9d3-42e6-905c-c6869f871ce7,18-02-2024,South,Tamil Nadu,Coimbatore,86,2435.37,23.79,Online,Nike ZoomX,P1002
Nike,81d2c7de-4ce1-4b90-a669-7833b841d0a0,30-04-2024,South,Kerala,Trivandrum,24,1103.84,67.73,Wholesale,Nike ZoomX,P1002
Nike,6703b636-5380-4904-a88c-7015aab97e49,27-09-2024,East,West Bengal,Siliguri,32,690.3,20.64,Retail,Nike Air Max,P1001
Nike,311c6eb6-2095-4ef6-8ded-f9fb4bb00f20,12-06-2024,North,Haryana,Gurgaon,67,2371.61,53.19,Retail,Nike React,P1004
Nike,ad64b56c-610f-4a3f-b0bb-ac67aa38d0a1,17-10-2024,South,Kerala,Kochi,48,1886.41,63.52,Retail,Nike Metcon,P1005
Nike,91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,26-04-2024,West,Gujarat,Surat,72,3404.95,73.42,Wholesale,Nike Air Max,P1001
Nike,001a9a8b-d56f-4350-8c45-9ce267f48ad5,28-04-2024,North,Punjab,Ludhiana,26,1006.97,40.72,Retail,Nike Air Max,P1001
Nike,c9277d9b-6e0d-4648-b5ce-884149732d6c,13-08-2024,East,Odisha,Cuttack,74,2435.04,30.59,Wholesale,Nike React,P1004
Nike,77097749-527e-4cfa-a79a-c9aa9b4e2c24,20-06-2024,North,Haryana,Gurgaon,67,2171.77,29.56,Online,Nike React,P1004
Nike,82dc4c8e-36b5-429a-acf5-e81e71316269,02-07-2024,West,Gujarat,Ahmedabad,64,2557.01,48.45,Retail,Nike Pegasus,P1003
Nike,cbc84759-f5b7-4cc7-a6b3-c944cb323e35,12-10-2024,South,Kerala,Trivandrum,21,478.73,34.65,Online,Nike Air Max,P1001
Nike,48a639d0-15b5-4908-a8aa-71582b70e525,19-07-2024,East,West Bengal,Kolkata,81,2421.04,44.39,Wholesale,Nike Metcon,P1005
Nike,55cee5db-9e87-404c-a208-6977a9f25336,06-02-2024,East,Bihar,Gaya,46,1351.18,44.36,Wholesale,Nike Air Max,P1001
Nike,3c20592f-c04a-46c4-b3b6-3fe1d1843324,18-09-2024,South,Tamil Nadu,Coimbatore,23,1043.31,55.28,Retail,Nike ZoomX,P1002
Nike,32fa2de8-ce7a-47f6-b982-0cff4f77a665,27-02-2024,East,Bihar,Patna,81,3110.98,38.97,Wholesale,Nike React,P1004
Nike,fbe33b24-3eae-4032-8bd4-a9900640be0f,03-07-2024,North,Haryana,Faridabad,33,1355.67,52.31,Retail,Nike Air Max,P1001
Nike,12a4def0-c4bb-47a9-9988-68dd9c7c7377,25-06-2024,East,Odisha,Bhubaneswar,28,1112.17,61.89,Wholesale,Nike ZoomX,P1002
Nike,935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,16-03-2024,North,Delhi,New Delhi,63,1904.29,36.77,Retail,Nike React,P1004
Nike,7e8f8095-624c-49b6-b244-45a7b7e58481,04-06-2024,East,Bihar,Patna,29,1236.36,67.69,Online,Nike Air Max,P1001
Nike,b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,03-01-2024,North,Punjab,Amritsar,72,2394.82,43.54,Wholesale,Nike React,P1004
Nike,c521bf2d-dc45-4539-803f-3538e4855aa1,09-12-2024,North,Punjab,Amritsar,46,1856.31,45.24,Wholesale,Nike Air Max,P1001
Nike,3805f907-6cd6-4193-8746-8f591b494e15,09-03-2024,East,West Bengal,Kolkata,86,1739.83,25.91,Online,Nike React,P1004
Nike,8498e113-b227-462c-b53d-4330cdda24ba,29-06-2024,South,Tamil Nadu,Coimbatore,51,1031.83,19.3,Online,Nike Pegasus,P1003
Nike,eadf5085-3fcb-4546-8eb2-25790cdb1ca4,25-11-2024,South,Tamil Nadu,Coimbatore,100,3500.79,31.83,Online,Nike Metcon,P1005
Nike,cd29a36f-2222-42e1-b4da-aebf1f115b76,29-06-2024,East,West Bengal,Siliguri,65,2196.52,52.25,Online,Nike Air Max,P1001
Nike,8f15ba58-fce6-4504-87f8-424daae65fc1,19-08-2024,East,Bihar,Gaya,61,2391.46,50.67,Wholesale,Nike Metcon,P1005
